class;fieldName;fieldLabel;dataType;mandatory;maxLength;displayClass;displayedLength;defaultValue;connectedClass;fieldsOfConnectedClass
tsmdomain;PK;Primärer Schlüssel;numeric;Y;11;system;100;;;
tsmdomain;LK;ID;key;Y;11;system;100;;;
tsmdomain;histtop;historischer Stand;alphanumeric;Y;2;system;100;Y;;
tsmdomain;editTime;letzte Bearbeitung;datetime;Y;40;everyone;100;;;
tsmdomain;editor;letzter Bearbeiter;lk;Y;11;everyone;100;;User;userid
tsmdomain;firstEditTime;Erfassungszeitpunkt;datetime;Y;40;everyone;100;;;
tsmdomain;firstEditor;Erfasser;lk;Y;11;everyone;100;;User;userid
tsmdomain;name;Name;alphanumeric;Y;200;everyone;150;;;
tsmdomain;FK_tsmserver;TSMServer;lk;Y;4;everyone;150;;;
