class;fieldName;fieldLabel;dataType;mandatory;maxLength;displayClass;displayedLength;defaultValue;connectedClass;fieldsOfConnectedClass
vendor;PK;Primärer Schlüssel;numeric;Y;11;system;150;;;
vendor;LK;ID;numeric;Y;11;system;150;;;
vendor;histtop;historischer Stand;alphanumeric;Y;2;system;100;;;
vendor;editTime;letzte Bearbeitung;datetime;Y;40;system;100;;;
vendor;editor;letzter Bearbeiter;Lk;Y;11;system;100;;user;userid
vendor;firstEditTime;Erfassungszeitpunkt;datetime;Y;40;system;100;;;
vendor;firstEditor;Erfasser;Lk;Y;11;system;100;;user;userid
vendor;name;Name;alphanumeric;Y;400;everyone;200;;;
vendor;number;Nummer;numeric;Y;11;everyone;100;;;
